name,surname,championship_name,category,team_name,end_year,expected_standing,team_loyalty,country,dob,elo,race_skill,qualifying_skill,aggression,defending,stamina,consistency,start_reactions,wet_skill,tyre_management,fuel_management,blue_flag_conceding,weather_tyre_changes,avoidance_of_mistakes,avoidance_of_forced_mistakes,setup_downforce
Oliver,Jarvis,IMSA WeatherTech SportsCar Championship,LMP2,Intersport Racing,2026,7,0.76,GBR,1984/01/09,1775,0.71,0.71,0.65,0.68,0.70,0.72,0.68,0.69,0.69,0.68,0.70,0.67,0.72,0.71,0.66
Tom,Dillmann,IMSA WeatherTech SportsCar Championship,LMP2,Inter Europol Competition,2026,8,0.76,FRA,1989/04/06,1765,0.71,0.71,0.65,0.68,0.70,0.69,0.68,0.69,0.69,0.68,0.70,0.67,0.69,0.68,0.50
Harry,Tincknell,IMSA WeatherTech SportsCar Championship,LMP2,Bryan Herta Autosport with PR1/Mathiasen,2026,9,0.76,GBR,1991/10/29,1760,0.70,0.70,0.64,0.67,0.69,0.68,0.67,0.71,0.68,0.67,0.70,0.69,0.68,0.67,0.50
Pietro,Fittipaldi,IMSA WeatherTech SportsCar Championship,LMP2,Pratt Miller Motorsports,2026,10,0.76,BRA,1996/06/25,1755,0.70,0.70,0.64,0.67,0.69,0.68,0.67,0.68,0.68,0.67,0.70,0.66,0.68,0.67,0.51
Nicklas,Nielsen,IMSA WeatherTech SportsCar Championship,LMP2,AF Corse USA,2026,11,0.76,DNK,1997/02/06,1750,0.70,0.70,0.64,0.67,0.69,0.68,0.67,0.68,0.68,0.67,0.70,0.66,0.68,0.67,0.50
Dane,Cameron,IMSA WeatherTech SportsCar Championship,LMP2,AO Racing,2026,12,0.70,USA,1988/10/18,1745,0.69,0.69,0.63,0.66,0.68,0.67,0.66,0.67,0.67,0.66,0.70,0.65,0.67,0.66,0.66
Connor,De Phillippi,IMSA WeatherTech SportsCar Championship,GT3_Gen2,Paul Miller Racing,2026,1,0.82,USA,1992/12/25,1840,0.76,0.76,0.70,0.73,0.75,0.74,0.73,0.74,0.74,0.73,0.71,0.72,0.74,0.73,0.43
Antonio,Garcia,IMSA WeatherTech SportsCar Championship,GT3_Gen2,Corvette Racing by Pratt Miller Motorsports,2026,4,0.82,ESP,1980/06/05,1815,0.74,0.76,0.68,0.71,0.73,0.75,0.71,0.72,0.74,0.73,0.70,0.70,0.75,0.74,0.51
Nicky,Catsburg,IMSA WeatherTech SportsCar Championship,GT3_Gen2,Corvette Racing by Pratt Miller Motorsports,2026,3,0.82,NLD,1988/02/15,1825,0.75,0.77,0.69,0.72,0.74,0.76,0.72,0.76,0.73,0.72,0.70,0.74,0.76,0.75,0.55
Andrea,Caldarelli,IMSA WeatherTech SportsCar Championship,GT3_Gen2,Pfaff Motorsports,2026,9,0.76,ITA,1990/02/14,1785,0.72,0.72,0.66,0.69,0.71,0.70,0.69,0.70,0.70,0.69,0.70,0.68,0.70,0.69,0.49
Jack,Hawksworth,IMSA WeatherTech SportsCar Championship,GT3_Gen2,Vasser Sullivan Racing,2026,8,0.76,GBR,1991/02/28,1795,0.73,0.73,0.67,0.70,0.72,0.71,0.70,0.74,0.71,0.70,0.70,0.72,0.71,0.70,0.57
Philip,Ellis,IMSA WeatherTech SportsCar Championship,GT3_Gen2,Winward Racing,2026,2,0.82,CHE,1992/10/09,1835,0.75,0.75,0.69,0.72,0.74,0.73,0.72,0.73,0.73,0.72,0.70,0.71,0.73,0.72,0.40
Max,Esterson,IMSA WeatherTech SportsCar Championship,GT3_Gen2,RLL Team McLaren,2026,12,0.70,USA,2002/10/09,1745,0.69,0.69,0.63,0.66,0.68,0.67,0.66,0.67,0.67,0.66,0.70,0.65,0.67,0.66,0.46
Alessandro,Pier Guidi,IMSA WeatherTech SportsCar Championship,GT3_Gen2,Risi Competizione,2026,7,0.76,ITA,1983/12/18,1805,0.73,0.75,0.67,0.70,0.72,0.71,0.70,0.71,0.71,0.70,0.70,0.69,0.71,0.70,0.54
Mike,Rockenfeller,IMSA WeatherTech SportsCar Championship,GT3_Gen2,Ford Racing,2026,10,0.76,DEU,1983/10/31,1775,0.71,0.73,0.67,0.68,0.70,0.69,0.68,0.69,0.69,0.68,0.70,0.67,0.69,0.68,0.52
Christopher,Mies,IMSA WeatherTech SportsCar Championship,GT3_Gen2,Ford Racing,2026,6,0.76,DEU,1989/05/24,1810,0.74,0.74,0.68,0.71,0.73,0.72,0.71,0.72,0.72,0.71,0.70,0.70,0.72,0.71,0.41
Nick,Tandy,IMSA WeatherTech SportsCar Championship,GT3_Gen2,AO Racing,2026,11,0.76,GBR,1984/11/05,1780,0.72,0.74,0.68,0.69,0.71,0.70,0.69,0.73,0.72,0.71,0.70,0.71,0.70,0.69,0.57
Klaus,Bachler,IMSA WeatherTech SportsCar Championship,GT3_Gen2,Manthey Racing,2026,5,0.82,AUT,1991/07/27,1820,0.74,0.76,0.68,0.71,0.73,0.75,0.71,0.72,0.74,0.73,0.70,0.70,0.75,0.74,0.43
Antonio,Fuoco,IMSA WeatherTech SportsCar Championship,GT3_Gen2,AF Corse USA,2026,13,0.70,ITA,1996/05/20,1765,0.71,0.71,0.67,0.68,0.70,0.69,0.68,0.69,0.69,0.68,0.70,0.67,0.69,0.68,0.43
Eduardo,Barrichello,IMSA WeatherTech SportsCar Championship,GT3_Gen2,Heart of Racing Team,2026,14,0.70,BRA,2001/09/23,1755,0.70,0.70,0.64,0.67,0.69,0.68,0.67,0.68,0.68,0.67,0.70,0.66,0.68,0.67,0.45
Colin,Braun,GT World Challenge America,GT3_Gen2,Kellymoss,2026,1,0.82,USA,1988/09/22,1840,0.76,0.78,0.70,0.73,0.75,0.76,0.73,0.76,0.76,0.75,0.71,0.74,0.76,0.75,0.49
Riley,Dickinson,GT World Challenge America,GT3_Gen2,Kellymoss,2026,2,0.82,USA,2002/01/01,1815,0.74,0.74,0.70,0.71,0.73,0.74,0.71,0.72,0.72,0.71,0.70,0.70,0.74,0.73,0.44
Loek,Hartog,GT World Challenge America,GT3_Gen2,Kellymoss,2026,3,0.82,NLD,2002/01/01,1810,0.74,0.76,0.68,0.71,0.73,0.74,0.71,0.72,0.72,0.71,0.70,0.70,0.74,0.73,0.54
Alex,Sedgwick,GT World Challenge America,GT3_Gen2,Dollahite Racing,2026,4,0.82,GBR,1998/01/01,1805,0.73,0.73,0.67,0.70,0.72,0.73,0.70,0.71,0.71,0.70,0.70,0.69,0.73,0.72,0.42
Zachary,Vanier,GT World Challenge America,GT3_Gen2,McCann Racing,2026,5,0.82,CAN,2002/1/1,1800,0.73,0.73,0.67,0.70,0.72,0.73,0.70,0.71,0.71,0.70,0.70,0.69,0.73,0.72,0.54
Daniel,Morad,GT World Challenge America,GT3_Gen2,TR3 Racing,2026,6,0.82,CAN,1990/04/24,1795,0.73,0.75,0.69,0.70,0.72,0.73,0.70,0.73,0.73,0.72,0.70,0.71,0.73,0.72,0.39
Marc,Austin,GT World Challenge America,GT3_Gen2,MAD Joker by Lone Star Racing,2026,7,0.82,USA,1980/01/01,1785,0.72,0.72,0.66,0.69,0.71,0.72,0.69,0.70,0.70,0.69,0.70,0.68,0.72,0.71,0.56
Frederik,Schandorff,GT World Challenge America,GT3_Gen2,AF Corse USA,2026,8,0.82,DNK,1996/08/20,1780,0.72,0.72,0.66,0.69,0.71,0.72,0.69,0.70,0.70,0.69,0.70,0.68,0.72,0.71,0.52
Oswaldo,Negri Jr.,GT World Challenge America,GT3_Gen2,AF Corse USA,2026,9,0.82,BRA,1964/5/29,1775,0.71,0.71,0.65,0.68,0.70,0.71,0.68,0.71,0.69,0.68,0.70,0.69,0.71,0.70,0.51
Andy,Lee,GT World Challenge America,GT3_Gen2,Riley Technologies,2026,10,0.76,USA,1979/01/01,1770,0.71,0.71,0.65,0.68,0.70,0.71,0.68,0.69,0.69,0.68,0.70,0.67,0.71,0.70,0.46
Riccardo,Agostini,GT World Challenge America,GT3_Gen2,Triarsi Competizione,2026,11,0.76,ITA,1994/04/20,1765,0.71,0.71,0.65,0.68,0.70,0.71,0.68,0.69,0.69,0.68,0.70,0.67,0.71,0.70,0.47
Philip,Ellis,GT World Challenge America,GT3_Gen2,JMF Motorsports,2026,12,0.76,CHE,1992/10/09,1760,0.70,0.72,0.64,0.67,0.69,0.70,0.67,0.68,0.70,0.69,0.70,0.66,0.70,0.69,0.40
Mikael,Grenier,GT World Challenge America,GT3_Gen2,JMF Motorsports,2026,13,0.76,CAN,1992/10/17,1755,0.70,0.70,0.64,0.67,0.69,0.68,0.67,0.68,0.68,0.67,0.70,0.66,0.68,0.67,0.41
Jan,Heylen,GT World Challenge America,GT3_Gen2,RS1,2026,14,0.76,BEL,1980/05/01,1750,0.70,0.72,0.64,0.67,0.69,0.68,0.67,0.70,0.70,0.69,0.70,0.68,0.68,0.67,0.50
Robby,Foley,GT World Challenge America,GT3_Gen2,Turner Motorsport,2026,15,0.76,USA,1996/07/20,1745,0.69,0.71,0.65,0.66,0.68,0.67,0.66,0.67,0.67,0.66,0.70,0.65,0.67,0.66,0.56
Ryan,Yardley,GT World Challenge America,GT3_Gen2,Wright Motorsports,2026,16,0.76,NZL,1999/01/01,1740,0.69,0.69,0.63,0.66,0.68,0.67,0.66,0.67,0.67,0.66,0.70,0.65,0.67,0.66,0.40
Thomas,Merrill,GT World Challenge America,GT3_Gen2,Wright Motorsports,2026,17,0.76,USA,1986/01/01,1735,0.69,0.69,0.63,0.66,0.68,0.67,0.66,0.67,0.67,0.66,0.70,0.65,0.67,0.66,0.46
Tom,Sargent,GT World Challenge America,GT3_Gen2,GMG Racing,2026,18,0.76,AUS,2002/02/14,1730,0.68,0.68,0.62,0.65,0.67,0.66,0.65,0.66,0.66,0.65,0.70,0.64,0.66,0.65,0.44
Aaron,Povoledo,GT World Challenge America,GT3_Gen2,Chouest Povoledo Racing,2026,19,0.70,CAN,1976/11/10,1725,0.68,0.68,0.62,0.65,0.67,0.66,0.65,0.66,0.66,0.65,0.70,0.64,0.66,0.65,0.51
Mads,Siljehaug,GT World Challenge America,GT3_Gen2,Chicago Performance and Tuning,2026,20,0.70,NOR,1996/3/24,1720,0.68,0.68,0.62,0.65,0.67,0.66,0.65,0.66,0.66,0.65,0.70,0.64,0.66,0.65,0.46
Aaron,Telitz,GT World Challenge America,GT3_Gen2,Archangel Motorsports,2026,21,0.70,USA,1991/12/13,1715,0.67,0.69,0.63,0.64,0.66,0.65,0.64,0.65,0.65,0.64,0.70,0.63,0.65,0.64,0.52
Robin,Liddell,GT World Challenge America,GT3_Gen2,Rebel Rock Racing,2026,22,0.70,GBR,1974/02/28,1710,0.67,0.67,0.61,0.64,0.66,0.65,0.64,0.67,0.67,0.66,0.70,0.65,0.65,0.64,0.45
Hampus,Ericsson,GT World Challenge America,GT3_Gen2,Random Vandals Racing,2026,23,0.70,SWE,2002/05/20,1705,0.67,0.67,0.61,0.64,0.66,0.65,0.64,0.65,0.65,0.64,0.70,0.63,0.65,0.64,0.50
Hampus,Ericsson,Lamborghini Super Trofeo North America,Super Trofeo,Wayne Taylor Racing,2026,1,0.82,SWE,2002/05/20,1815,0.74,0.76,0.70,0.71,0.73,0.74,0.71,0.74,0.74,0.73,0.70,0.72,0.74,0.73,0.47
Al,Morey IV,Lamborghini Super Trofeo North America,Super Trofeo,Wayne Taylor Racing,2026,2,0.82,USA,1992/01/01,1755,0.70,0.70,0.64,0.67,0.69,0.70,0.67,0.68,0.68,0.67,0.70,0.66,0.70,0.69,0.44
Graham,Doyle,Lamborghini Super Trofeo North America,Super Trofeo,Wayne Taylor Racing,2026,3,0.82,USA,2005/01/01,1775,0.71,0.71,0.65,0.68,0.70,0.71,0.68,0.69,0.69,0.68,0.70,0.67,0.71,0.70,0.54
Marc,Miller,Lamborghini Super Trofeo North America,Super Trofeo,Wayne Taylor Racing,2026,4,0.82,USA,1975/8/24,1785,0.72,0.72,0.66,0.69,0.71,0.72,0.69,0.72,0.70,0.69,0.70,0.70,0.72,0.71,0.56
Tatiana,Calderon,Lamborghini Super Trofeo North America,Super Trofeo,RAFA Racing Team,2026,5,0.82,COL,1993/03/10,1805,0.73,0.75,0.67,0.70,0.72,0.73,0.70,0.73,0.73,0.72,0.70,0.71,0.73,0.72,0.56
Chloe,Chambers,Lamborghini Super Trofeo North America,Super Trofeo,RAFA Racing Team,2026,6,0.82,USA,2004/06/14,1770,0.71,0.71,0.65,0.68,0.70,0.71,0.68,0.69,0.69,0.68,0.70,0.67,0.71,0.70,0.51
Jackson,Lee,Lamborghini Super Trofeo North America,Super Trofeo,Forty7 Motorsports,2026,7,0.82,USA,2002/01/01,1765,0.71,0.71,0.65,0.68,0.70,0.71,0.68,0.69,0.69,0.68,0.70,0.67,0.71,0.70,0.55
Christopher,Koebbe,Lamborghini Super Trofeo North America,Super Trofeo,Forty7 Motorsports,2026,8,0.82,USA,1985/01/01,1710,0.67,0.67,0.61,0.64,0.66,0.67,0.64,0.65,0.65,0.64,0.70,0.63,0.67,0.66,0.42
Lindsay,Brewer,Lamborghini Super Trofeo North America,Super Trofeo,Forty7 Motorsports,2026,9,0.82,USA,1997/04/17,1735,0.69,0.69,0.63,0.66,0.68,0.69,0.66,0.67,0.67,0.66,0.70,0.65,0.69,0.68,0.47
Christopher,Tasca,Lamborghini Super Trofeo North America,Super Trofeo,Forty7 Motorsports,2026,10,0.76,USA,1980/01/01,1695,0.66,0.66,0.60,0.63,0.65,0.66,0.63,0.64,0.64,0.63,0.70,0.62,0.66,0.65,0.50
Tommi,Gore,Lamborghini Super Trofeo North America,Super Trofeo,ANSA Motorsports,2026,11,0.76,JAM,2003/01/01,1760,0.70,0.70,0.66,0.67,0.69,0.70,0.67,0.68,0.68,0.67,0.70,0.66,0.70,0.69,0.52
Philippe,Touchette,Lamborghini Super Trofeo North America,Super Trofeo,TB Autosports,2026,12,0.76,CAN,1985/01/01,1705,0.67,0.67,0.61,0.64,0.66,0.67,0.64,0.65,0.65,0.64,0.70,0.63,0.67,0.66,0.48
Kyle,Marcelli,Lamborghini Super Trofeo North America,Super Trofeo,TB Autosports,2026,13,0.76,CAN,1990/02/24,1790,0.72,0.74,0.66,0.69,0.71,0.70,0.69,0.72,0.72,0.71,0.70,0.70,0.70,0.69,0.50
Anthony,Bullock,Lamborghini Super Trofeo North America,Super Trofeo,XONINE Racing,2026,14,0.76,USA,1994/01/01,1715,0.67,0.67,0.61,0.64,0.66,0.65,0.64,0.65,0.65,0.64,0.70,0.63,0.65,0.64,0.48
Will,Bamber,Lamborghini Super Trofeo North America,Super Trofeo,XONINE Racing,2026,15,0.76,NZL,1994/07/20,1810,0.74,0.76,0.70,0.71,0.73,0.72,0.71,0.74,0.74,0.73,0.70,0.72,0.72,0.71,0.45
Nick,Groat,Lamborghini Super Trofeo North America,Super Trofeo,XONINE Racing,2026,16,0.76,USA,1985/01/01,1725,0.68,0.68,0.62,0.65,0.67,0.66,0.65,0.66,0.66,0.65,0.70,0.64,0.66,0.65,0.45
Troy,Petersen,Lamborghini Super Trofeo North America,Super Trofeo,XONINE Racing,2026,17,0.76,USA,1980/01/01,1690,0.66,0.66,0.60,0.63,0.65,0.64,0.63,0.64,0.64,0.63,0.70,0.62,0.64,0.63,0.53
Rodin,Younessi,Lamborghini Super Trofeo North America,Super Trofeo,Alliance Racing,2026,18,0.76,USA,1969/01/01,1685,0.66,0.66,0.60,0.63,0.65,0.64,0.63,0.64,0.64,0.63,0.70,0.62,0.64,0.63,0.44
Ernie,Francis Jr.,Lamborghini Super Trofeo North America,Super Trofeo,Alliance Racing,2026,19,0.70,USA,1998/01/23,1795,0.73,0.75,0.67,0.70,0.72,0.71,0.70,0.71,0.71,0.70,0.70,0.69,0.71,0.70,0.57
Jack William,Miller,Lamborghini Super Trofeo North America,Super Trofeo,Alliance Racing,2026,20,0.70,USA,2003/01/01,1730,0.68,0.68,0.62,0.65,0.67,0.66,0.65,0.68,0.66,0.65,0.70,0.66,0.66,0.65,0.44
James,Lawley,Lamborghini Super Trofeo North America,Super Trofeo,Atlantic Racing Team,2026,21,0.70,CAN,2001/01/01,1720,0.68,0.68,0.62,0.65,0.67,0.66,0.65,0.66,0.66,0.65,0.70,0.64,0.66,0.65,0.43
Jaden,Conwright,Lamborghini Super Trofeo North America,Super Trofeo,SP Motorsports,2026,22,0.70,USA,1999/07/29,1745,0.69,0.69,0.63,0.66,0.68,0.67,0.66,0.67,0.67,0.66,0.70,0.65,0.67,0.66,0.41
Elias,De La Torre IV,Lamborghini Super Trofeo North America,Super Trofeo,TR3 Racing,2026,23,0.70,USA,2005/01/01,1800,0.73,0.75,0.69,0.70,0.72,0.71,0.70,0.71,0.71,0.70,0.70,0.69,0.71,0.70,0.49
Clay,Wilson,Lamborghini Super Trofeo North America,Super Trofeo,TR3 Racing,2026,24,0.70,USA,1996/01/01,1700,0.67,0.67,0.60,0.64,0.66,0.65,0.64,0.65,0.65,0.64,0.70,0.62,0.65,0.64,0.40
Charles,Dawson,British GT Championship,GT3_Gen2,2 Seas Motorsport,2026,1,0.82,GBR,1993/01/01,1810,0.74,0.74,0.68,0.71,0.73,0.72,0.71,0.72,0.72,0.71,0.70,0.70,0.72,0.71,0.56
Aaron,Walker,British GT Championship,GT3_Gen2,2 Seas Motorsport,2026,2,0.82,GBR,2000/01/01,1790,0.72,0.72,0.66,0.69,0.71,0.70,0.69,0.70,0.70,0.69,0.70,0.68,0.70,0.69,0.45
Ben,Green,British GT Championship,GT3_Gen2,2 Seas Motorsport,2026,3,0.82,GBR,1997/02/13,1825,0.75,0.75,0.69,0.72,0.74,0.73,0.72,0.73,0.73,0.72,0.70,0.71,0.73,0.72,0.50
Garnet,Patterson,British GT Championship,GT3_Gen2,Optimum Motorsport,2026,4,0.82,ZAF,1993/8/23,1800,0.73,0.73,0.67,0.70,0.72,0.71,0.70,0.71,0.71,0.70,0.70,0.69,0.71,0.70,0.53
Ben,Barnicoat,British GT Championship,GT3_Gen2,Optimum Motorsport,2026,5,0.82,GBR,1996/12/20,1840,0.76,0.78,0.70,0.73,0.75,0.76,0.73,0.76,0.76,0.75,0.71,0.74,0.76,0.75,0.46
Jack,Brown,British GT Championship,GT3_Gen2,Optimum Motorsport,2026,6,0.82,GBR,2002/01/01,1775,0.71,0.71,0.65,0.68,0.70,0.69,0.68,0.69,0.69,0.68,0.70,0.67,0.69,0.68,0.49
Phil,Keen,British GT Championship,GT3_Gen2,Paradine Competition,2026,7,0.76,GBR,1983/10/20,1835,0.75,0.77,0.69,0.72,0.74,0.75,0.72,0.75,0.75,0.74,0.70,0.73,0.75,0.74,0.39
Dan,Harper,British GT Championship,GT3_Gen2,Paradine Competition,2026,8,0.76,GBR,2000/12/08,1830,0.75,0.77,0.71,0.72,0.74,0.75,0.72,0.73,0.73,0.72,0.70,0.71,0.75,0.74,0.46
Ross,Gunn,British GT Championship,GT3_Gen2,Beechdean Motorsport,2026,9,0.76,GBR,1997/03/10,1820,0.74,0.76,0.68,0.71,0.73,0.74,0.71,0.74,0.74,0.73,0.70,0.72,0.74,0.73,0.49
Martin,Plowman,British GT Championship,GT3_Gen2,Paddock Motorsport,2026,10,0.76,GBR,1987/10/03,1790,0.72,0.72,0.66,0.69,0.71,0.70,0.69,0.70,0.70,0.69,0.70,0.68,0.70,0.69,0.51
Josh,Buchan,British GT Championship,GT3_Gen2,Rodin Motorsport,2026,11,0.76,AUS,1995/01/01,1780,0.72,0.72,0.68,0.69,0.71,0.70,0.69,0.70,0.70,0.69,0.70,0.68,0.70,0.69,0.48
Jonathon,Beeson,British GT Championship,GT3_Gen2,Century Motorsport,2026,12,0.76,GBR,2003/01/01,1765,0.71,0.71,0.65,0.68,0.70,0.69,0.68,0.69,0.69,0.68,0.70,0.67,0.69,0.68,0.47
Matt,Griffin,British GT Championship,GT3_Gen2,Barwell Motorsport,2026,13,0.70,IRL,1982/11/01,1815,0.74,0.76,0.68,0.71,0.73,0.72,0.71,0.74,0.74,0.73,0.70,0.72,0.72,0.71,0.42
Rob,Collard,British GT Championship,GT3_Gen2,Barwell Motorsport,2026,14,0.70,GBR,1968/10/01,1760,0.70,0.70,0.64,0.67,0.69,0.68,0.67,0.68,0.68,0.67,0.70,0.66,0.68,0.67,0.46
Marcus,Clutton,British GT Championship,GT3_Gen2,Orange Racing by JMH,2026,15,0.70,GBR,1993/1/1,1760,0.70,0.70,0.64,0.67,0.69,0.68,0.67,0.68,0.68,0.67,0.70,0.66,0.68,0.67,0.50
Josh,Rowledge,British GT Championship,GT3_Gen2,Mahiki Racing,2026,16,0.70,GBR,2002/1/1,1755,0.70,0.70,0.64,0.67,0.69,0.68,0.67,0.68,0.68,0.67,0.70,0.66,0.68,0.67,0.48
Tom,Bradshaw,British GT Championship,GT4,Toro Verde GT,2026,1,0.82,GBR,1992/01/01,1735,0.69,0.69,0.63,0.66,0.68,0.67,0.66,0.67,0.67,0.66,0.70,0.65,0.67,0.66,0.51
Jack,Mitchell,British GT Championship,GT4,Toro Verde GT,2026,2,0.82,GBR,1998/01/01,1745,0.69,0.69,0.65,0.66,0.68,0.67,0.66,0.67,0.67,0.66,0.70,0.65,0.67,0.66,0.46
Jessica,Hawkins,British GT Championship,GT4,MK Racing,2026,3,0.82,GBR,1995/02/16,1720,0.68,0.68,0.64,0.65,0.67,0.66,0.65,0.66,0.66,0.65,0.70,0.64,0.66,0.65,0.43
Jack,Collins,British GT Championship,GT4,Century Motorsport,2026,4,0.82,GBR,1994/01/01,1730,0.68,0.68,0.62,0.65,0.67,0.66,0.65,0.66,0.66,0.65,0.70,0.64,0.66,0.65,0.46
Darren,Turner,British GT Championship,GT4,Grange Racing by FSR,2026,5,0.82,GBR,1974/4/13,1740,0.69,0.71,0.63,0.66,0.68,0.69,0.66,0.69,0.69,0.68,0.70,0.67,0.69,0.68,0.50
James,Townsend,British GT Championship,GT4,Townsend Racing,2026,6,0.82,GBR,1988/1/1,1715,0.67,0.67,0.61,0.64,0.66,0.65,0.64,0.65,0.65,0.64,0.70,0.63,0.65,0.64,0.45
Luca,Hopkinson,British GT Championship,GT4,Optimum Motorsport,2026,7,0.76,GBR,2002/01/01,1710,0.67,0.67,0.61,0.64,0.66,0.65,0.64,0.65,0.65,0.64,0.70,0.63,0.65,0.64,0.44
Colin,Turkington,British GT Championship,GT4,WSR Flexifly,2026,8,0.76,GBR,1982/03/21,1735,0.69,0.71,0.63,0.66,0.68,0.67,0.66,0.69,0.67,0.66,0.70,0.67,0.67,0.66,0.48
Thomas,Holland,British GT Championship,GT4,Innovation Racing,2026,9,0.76,GBR,2000/01/01,1705,0.67,0.67,0.61,0.64,0.66,0.65,0.64,0.65,0.65,0.64,0.70,0.63,0.65,0.64,0.53
Blake,Angliss,British GT Championship,GT4,Mahiki Racing,2026,10,0.76,GBR,2004/01/01,1700,0.67,0.67,0.60,0.64,0.66,0.65,0.64,0.65,0.65,0.64,0.70,0.62,0.65,0.64,0.51
Ronan,Pearson,British GT Championship,GT4,GBR Stratton Motorsport,2026,11,0.76,GBR,2001/09/01,1715,0.67,0.67,0.61,0.64,0.66,0.65,0.64,0.65,0.65,0.64,0.70,0.63,0.65,0.64,0.44
Sebastian,Alvarez,European Le Mans Series,LMP2_Gen1,DKR Engineering,2026,1,0.82,MEX,2002/01/01,1810,0.74,0.74,0.68,0.71,0.73,0.74,0.71,0.72,0.72,0.71,0.70,0.70,0.74,0.73,0.61
Cem,Bolukbasi,European Le Mans Series,LMP2_Gen1,Vector Sport,2026,2,0.82,TUR,1998/02/09,1800,0.73,0.73,0.67,0.70,0.72,0.73,0.70,0.71,0.71,0.70,0.70,0.69,0.73,0.72,0.59
Mike,Rockenfeller,European Le Mans Series,LMP2_Gen1,Proton Competition,2026,3,0.82,DEU,1983/10/31,1840,0.76,0.78,0.72,0.73,0.75,0.76,0.73,0.76,0.76,0.75,0.71,0.74,0.76,0.75,0.63
Sami,Meguetounif,European Le Mans Series,LMP2_Gen1,TDS Racing,2026,4,0.82,FRA,2004/05/24,1785,0.72,0.72,0.66,0.69,0.71,0.72,0.69,0.70,0.70,0.69,0.70,0.68,0.72,0.71,0.50
Jamie,Chadwick,European Le Mans Series,LMP2_Gen1,IDEC Sport,2026,5,0.82,GBR,1998/05/20,1780,0.72,0.74,0.66,0.69,0.71,0.72,0.69,0.70,0.70,0.69,0.70,0.68,0.72,0.71,0.61
Malthe,Jakobsen,European Le Mans Series,LMP2_Gen1,Algarve Pro Racing,2026,6,0.82,DNK,2003/10/29,1815,0.74,0.76,0.68,0.71,0.73,0.74,0.71,0.72,0.72,0.71,0.70,0.70,0.74,0.73,0.61
Oliver,Jarvis,European Le Mans Series,LMP2_Gen1,United Autosports,2026,7,0.76,GBR,1984/01/09,1825,0.75,0.77,0.69,0.72,0.74,0.75,0.72,0.75,0.75,0.74,0.70,0.73,0.75,0.74,0.51
Wyatt,Brichacek,European Le Mans Series,P1Gen2,DKR Engineering,2026,1,0.82,USA,2003/01/01,1745,0.69,0.69,0.63,0.66,0.68,0.69,0.66,0.67,0.67,0.66,0.70,0.65,0.69,0.68,0.51
Mikkel,Gaarde Pedersen,European Le Mans Series,P1Gen2,Rinaldi Racing,2026,2,0.82,DNK,1996/01/01,1735,0.69,0.69,0.63,0.66,0.68,0.69,0.66,0.67,0.67,0.66,0.70,0.65,0.69,0.68,0.59
Daniel,Nogales,European Le Mans Series,P1Gen2,Team Virage,2026,3,0.82,ESP,2002/01/01,1728,0.68,0.68,0.62,0.65,0.67,0.68,0.65,0.66,0.66,0.65,0.70,0.64,0.68,0.67,0.62
Matthew,Bell,European Le Mans Series,P1Gen2,EuroInternational,2026,4,0.82,GBR,1989/01/01,1720,0.68,0.68,0.62,0.65,0.67,0.68,0.65,0.66,0.66,0.65,0.70,0.64,0.68,0.67,0.58
Alexander,Bukhantsov,European Le Mans Series,P1Gen2,Inter Europol Competition,2026,5,0.82,ARE,2004/01/01,1715,0.67,0.67,0.61,0.64,0.66,0.67,0.64,0.65,0.65,0.64,0.70,0.63,0.67,0.66,0.54
Paul,Lanchere,European Le Mans Series,P1Gen2,CLX Motorsport,2026,6,0.82,FRA,2002/01/01,1710,0.67,0.67,0.61,0.64,0.66,0.67,0.64,0.65,0.65,0.64,0.70,0.63,0.67,0.66,0.49
Lenny,Ried,European Le Mans Series,P1Gen2,Racing Spirit of Leman,2026,7,0.76,DEU,2005/01/01,1705,0.67,0.67,0.61,0.64,0.66,0.67,0.64,0.65,0.65,0.64,0.70,0.63,0.67,0.66,0.56
Sebastian,Gravlund,European Le Mans Series,P1Gen2,Ultimate,2026,8,0.76,DNK,2002/01/01,1700,0.67,0.67,0.60,0.64,0.66,0.67,0.64,0.65,0.65,0.64,0.70,0.62,0.67,0.66,0.62
Nick,Adcock,European Le Mans Series,P1Gen2,M Racing,2026,9,0.76,GBR,1987/01/01,1695,0.66,0.66,0.60,0.63,0.65,0.64,0.63,0.64,0.64,0.63,0.70,0.62,0.64,0.63,0.64
Fabien,Michal,European Le Mans Series,P1Gen2,R-ace GP,2026,10,0.76,FRA,1989/01/01,1690,0.66,0.66,0.60,0.63,0.65,0.64,0.63,0.64,0.64,0.63,0.70,0.62,0.64,0.63,0.55
Wayne,Boyd,European Le Mans Series,GT3,United Autosports,2026,1,0.82,GBR,1990/10/25,1775,0.71,0.71,0.65,0.68,0.70,0.71,0.68,0.69,0.69,0.68,0.70,0.67,0.71,0.70,0.46
Charlie,Eastwood,European Le Mans Series,GT3,TF Sport,2026,2,0.82,IRL,1995/08/11,1785,0.72,0.72,0.66,0.69,0.71,0.72,0.69,0.72,0.70,0.69,0.70,0.70,0.72,0.71,0.39
